학교,체험처,학교_위도,학교_경도,체험처_위도,체험처_경도
용암중학교,"드림콘서트(1) 글로벌리더 육성을 위한 진로캠프 - Dream Concert(인성교육, 자존감 높이기)",35.84136913,128.314491,35.820083,128.7311572
용암중학교,드림콘서트(2) 진로학습법캠프[진로캠프 & 자기주도학습법캠프] - Dream Concert,35.84136913,128.314491,35.820083,128.7311572
용암중학교,드림콘서트(3) 고교학점제 진로캠프 - 중학교 3학년 전환기 진로캠프,35.84136913,128.314491,35.820083,128.7311572
용암중학교,찾아가는 진로교육 꿈을 찾는 티켓 1-성격,35.84136913,128.314491,35.8274531,128.7185841
용암중학교,확 빠진자(건강 상태 체크),35.84136913,128.314491,35.96797,128.92488
용암중학교,경북 찾아가는의사직업체험(산부인과/피부과/외과/성형외과/응급의학과/이비인후과),35.84136913,128.314491,35.8856993,128.582784
용암중학교,진로체험 - 에너지 환경공학자,35.84136913,128.314491,35.81635,128.73541
용암중학교,찾아가는 전문직업인과의 만남(다양한 진로체험),35.84136913,128.314491,35.8274531,128.7185841
용암중학교,특수효과전문가(중학생을 위한 미래유망직업 소개)_토라사이언스,35.84136913,128.314491,36.1084915,128.1878133
용암중학교,특수효과전문가(중학생을 위한 미래유망직업 소개) ,35.84136913,128.314491,35.9927198,128.3872542
용암중학교,공간디자인전문가 - 중학생을 위한 골드버드 창의미션,35.84136913,128.314491,35.9927198,128.3872542
용암중학교,메이커전문가 (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),35.84136913,128.314491,35.9927198,128.3872542
용암중학교,직업퀴즈,35.84136913,128.314491,36.1215723,128.3646258
용암중학교,특수효과전문가(중학생을 위한 미래유망직업 소개)_토라사이언스,35.84136913,128.314491,36.1084915,128.1878133
용암중학교,특수효과전문가(중학생을 위한 미래유망직업 소개) ,35.84136913,128.314491,35.9927198,128.3872542
용암중학교,쇼콜라티에,35.84136913,128.314491,35.8024072,128.4964134
용암중학교,수상스키 타기,35.84136913,128.314491,35.95653,128.48785
용암중학교,영어로배우는체육교실,35.84136913,128.314491,35.64315,128.74319
용암중학교,오감만족 도예캠프,35.84136913,128.314491,35.8771359,128.7659703
용암중학교,"호국보훈의달 프로그램 「분단의 시작, 한국전쟁이야기」 +  골든벨(역사 체험)",35.84136913,128.314491,35.96797,128.92488
초전중학교,4차산업혁명시대의 새로운 진로 창시자-창직진로 프로그램,35.97707649,128.2641006,36.1020797,128.3820047
초전중학교,가상훈련시스템 전문가(VR),35.97707649,128.2641006,36.1084915,128.1878133
초전중학교,비대면 가상훈련 시스템 전문가(VR) - 중학생을 위한 미래 신직업,35.97707649,128.2641006,36.1084915,128.1878133
초전중학교,사회적기업가의 삶,35.97707649,128.2641006,35.9829227,128.3839164
초전중학교,찾아가는 전문직업인과의 만남(다양한 진로체험),35.97707649,128.2641006,35.8274531,128.7185841
초전중학교,"기초부터 배우는 아크릴, 유화",35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,소원을 담은 나만의 와인,35.97707649,128.2641006,35.92362,128.89645
초전중학교,와인맛의 감정사 소믈리에 (식사와 함께하는 와인예절교육),35.97707649,128.2641006,35.92362,128.89645
초전중학교,청소년 자기주도학습법-자기스스로 전과목을 거뜬하게(공부스타일 점검하기),35.97707649,128.2641006,36.1020797,128.3820047
초전중학교,확 빠진자(건강 상태 체크),35.97707649,128.2641006,35.96797,128.92488
초전중학교,도전 세계사,35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,도전_세계사,35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,도전-세계사,35.97707649,128.2641006,36.4281491,128.1707283
초전중학교,박정희대통령 생가 둘러보기,35.97707649,128.2641006,36.12323105,128.3413768
초전중학교,쇼콜라티에,35.97707649,128.2641006,35.8024072,128.4964134
초전중학교,"DIY 원목 목공체험 ( 선반, 책꽂이, 연필꽂이, 스토리박스, 코티지박스, 반달꽂이)",35.97707649,128.2641006,35.8024072,128.4964134
초전중학교,녹색 친환경 E.M비누와 천연 방향제 만들기,35.97707649,128.2641006,35.73209,128.25741
초전중학교,도자기디자인 ~ 머그컵 2개,35.97707649,128.2641006,35.8024072,128.4964134
초전중학교,청소용역업체 사장님 되어 보기(청소 용역 체험),35.97707649,128.2641006,36.0717084,128.3486653
초전중학교,체질에 맞는 천연 비누 만들기,35.97707649,128.2641006,36.1188414,128.3470946
