강좌명,프로그램명,점수,학교_위도,학교_경도,체험처_위도,체험처_경도
창의력 수학,드림콘서트(2) 진로학습법캠프[진로캠프 & 자기주도학습법캠프] - Dream Concert,0.6159541001527569,36.0858103,129.3869383,35.820083,128.7311572
수학과 놀자,"타로방범대(학생 상담, 응원)",0.40189486528992635,36.0858103,129.3869383,36.591216,128.1870866
수학과 놀자,바른인성을 지닌 건강한 학생 어깨동무 (어울려서  깨닫는  동갑내기  무얼하든 즐겁게!),0.36108199151438447,36.0858103,129.3869383,36.1020797,128.3820047
수학과 놀자,창의트레이너 - 중학생을 위한 골드버드 창의미션,1.422806908410333,36.0858103,129.3869383,36.1084915,128.1878133
수학과 놀자,공간디자인전문가 - 중학생을 위한 골드버드 창의미션,0.8660650228896787,36.0858103,129.3869383,35.9927198,128.3872542
수학과 놀자,드림박스 만들기 (중학생을 위한 창의융합 메이커체험),1.4788067703622714,36.0858103,129.3869383,35.9927198,128.3872542
수학과 놀자,SW코딩 전문가(중학생을 위한 미래신기술체험_빅보드 체험),1.567005504517268,36.0858103,129.3869383,35.9927198,128.3872542
수학과 놀자,메이커활동가 (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),1.3084208462455638,36.0858103,129.3869383,36.1084915,128.1878133
수학과 놀자,메이커전문가 (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),0.9725994868688854,36.0858103,129.3869383,35.9927198,128.3872542
수학과 놀자,진로체험 - 제품 디지이너,0.8507720780421912,36.0858103,129.3869383,35.81635,128.73541
수학과 놀자,비대면 메이커활동가 - (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),0.6156641643435647,36.0858103,129.3869383,36.1084915,128.1878133
재미있는 수학 세상,창의트레이너 - 중학생을 위한 골드버드 창의미션,0.36853585774950126,36.0858103,129.3869383,36.1084915,128.1878133
재미있는 수학 세상,드림박스 만들기 (중학생을 위한 창의융합 메이커체험),0.31257395284256007,36.0858103,129.3869383,35.9927198,128.3872542
재미있는 수학 세상,공간디자인전문가 - 중학생을 위한 골드버드 창의미션,1.5562940011004736,36.0858103,129.3869383,35.9927198,128.3872542
재미있는 수학 세상,"오디로 놀자! (오디따기, 오디빙수만들기)(농장 체험)",1.013863187590322,36.0858103,129.3869383,35.92362,128.89645
재미있는 수학 세상,SW코딩 전문가(중학생을 위한 미래신기술체험_빅보드 체험),1.32883666143209,36.0858103,129.3869383,35.9927198,128.3872542
재미있는 수학 세상,"타로방범대(학생 상담, 응원)",1.564647211781662,36.0858103,129.3869383,36.591216,128.1870866
재미있는 수학 세상,진로체험 - 제품 디지이너,0.9733698488757243,36.0858103,129.3869383,35.81635,128.73541
재미있는 수학 세상,메이커활동가 (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),1.0125747283222462,36.0858103,129.3869383,36.1084915,128.1878133
재미있는 수학 세상,메이커전문가 (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),0.7448786314636007,36.0858103,129.3869383,35.9927198,128.3872542
